2901,172.30.0.0,21,wlan,2607:b400:24:8000::0/64
2902,172.30.8.0,21,wlan,2607:b400:24:8001::0/64
2903,172.30.16.0,21,wlan,2607:b400:24:8002::0/64
2904,172.30.24.0,21,wlan,2607:b400:24:8003::0/64
2905,172.30.32.0,21,wlan,2607:b400:24:8004::0/64
2906,172.30.40.0,21,wlan,2607:b400:24:8005::0/64
2907,172.30.48.0,21,wlan,2607:b400:24:8006::0/64
2908,172.30.56.0,21,wlan,2607:b400:24:8007::0/64
2909,172.30.64.0,21,wlan,2607:b400:24:6000::0/64
2910,172.30.72.0,21,wlan,2607:b400:24:6001::0/64
2911,172.30.80.0,21,wlan,2607:b400:24:6002::0/64
2912,172.30.88.0,21,wlan,2607:b400:24:6003::0/64
2913,172.30.96.0,21,wlan,2607:b400:24:6004::0/64
2914,172.30.104.0,21,wlan,2607:b400:24:6005::0/64
2915,172.30.112.0,21,wlan,2607:b400:24:6006::0/64
2916,172.30.120.0,21,wlan,2607:b400:24:6007::0/64
2917,172.30.128.0,21,wlan,2607:b400:24:a000::0/64
2918,172.30.136.0,21,wlan,2607:b400:24:a001::0/64
2919,172.30.144.0,21,wlan,2607:b400:24:a002::0/64
2920,172.30.152.0,21,wlan,2607:b400:24:a003::0/64
2921,172.30.160.0,21,wlan,2607:b400:24:a004::0/64
2922,172.30.168.0,21,wlan,2607:b400:24:a005::0/64
2923,172.30.176.0,21,wlan,2607:b400:24:a006::0/64
2924,172.30.184.0,21,wlan,2607:b400:24:a007::0/64
2925,172.30.192.0,21,wlan,2607:b400:24:4000::0/64
2926,172.30.200.0,21,wlan,2607:b400:24:4001::0/64
2927,172.30.208.0,21,wlan,2607:b400:24:4002::0/64
2928,172.30.216.0,21,wlan,2607:b400:24:4003::0/64
2929,172.30.224.0,21,wlan,2607:b400:24:4004::0/64
2930,172.30.232.0,21,wlan,2607:b400:24:4005::0/64
2931,172.30.240.0,21,wlan,2607:b400:24:4006::0/64
2932,172.30.248.0,21,wlan,2607:b400:24:4007::0/64
